run_id,status,seed,started_at,finished_at,elapsed_seconds,pass_at_1,pass_at_4,parse_rate,mean_reward,steps,tasks,candidates,hit_at_1,hit_at_8,hit_at_32,model_passes,actual_completion_tokens,peak_cuda_bytes,input,input_sha256,adapter,adapter_sha256,config_sha256
20260727T070629Z_qwen3-0.6b_atomic_sft_lora-r16_exact_seed0,DONE,0,2026-07-27T07:06:29.284657+00:00,2026-07-27T07:07:03.248225+00:00,33.95787409998593,,,,,20,,,,,,,,4617336320,,,,,0bc4f5070c5339ccc77eff2a5e6fa2865c73a7526ed2a490540d9b83fc0f9129
20260727T070718Z_qwen3-0.6b_sft_validation_apply_evaluation_base-atomic-apply_exact_seed0,DONE,0,2026-07-27T07:07:18.609990+00:00,2026-07-27T07:07:31.571099+00:00,12.954448600008618,,0.0,0.0,,,10,40,,,,,1280,1254930432,artifacts\data\smoke\sft_validation_apply.jsonl,,,,80fe973b9630a9844d0fb5c4a794519f5f3b08effebb27d1e21146e4d49212f9
20260727T070736Z_qwen3-0.6b_sft_validation_plan_evaluation_base-atomic-plan_exact_seed0,DONE,0,2026-07-27T07:07:36.321181+00:00,2026-07-27T07:07:49.232884+00:00,12.904732099996181,,0.0,0.05,,,10,40,,,,,1280,1269524480,artifacts\data\smoke\sft_validation_plan.jsonl,,,,9213bb3b93d3154f1b0e17b0134b2f892bd457d909ff739cccfb202bdb89ad4a
20260727T070753Z_qwen3-0.6b_sft_validation_apply_evaluation_sft-atomic-apply_exact_seed0,DONE,0,2026-07-27T07:07:53.987757+00:00,2026-07-27T07:08:03.517295+00:00,9.522657800000161,,0.2,0.125,,,10,40,,,,,460,1285470720,artifacts\data\smoke\sft_validation_apply.jsonl,,artifacts\adapters\sft_atomic_r16_smoke,,0f8b07f68283f6603de6ec8e7b9a5b859351eb928881119d5f5d4b6f7664ae5a
20260727T070808Z_qwen3-0.6b_sft_validation_plan_evaluation_sft-atomic-plan_exact_seed0,DONE,0,2026-07-27T07:08:08.231997+00:00,2026-07-27T07:08:13.702049+00:00,5.4624289000057615,,0.0,0.2,,,10,40,,,,,160,1295397376,artifacts\data\smoke\sft_validation_plan.jsonl,,artifacts\adapters\sft_atomic_r16_smoke,,b380c9de0550106840769093c948de7870d61340a0f35d68aefbcad0a3a44724
20260727T070907Z_qwen3-0.6b_atomic_sft_lora-r16_exact_seed0,FAILED,0,2026-07-27T07:09:07.806242+00:00,,,,,,,,,,,,,,,,,,,,fd83c280d427c45a490036de114fe0f8ee39131a7463f621d967b22ec5b4fe86
20260727T071229Z_qwen3-0.6b_atomic_sft_lora-r16_exact_seed0,DONE,0,2026-07-27T07:12:29.202920+00:00,2026-07-27T07:13:22.845774+00:00,53.637475800001994,,,,,250,,,,,,,,4632436224,,,,,fd83c280d427c45a490036de114fe0f8ee39131a7463f621d967b22ec5b4fe86
20260727T071412Z_qwen3-0.6b_sft_validation_apply_evaluation_sft-pilot-atomic-apply_exact_seed0,DONE,0,2026-07-27T07:14:12.803470+00:00,2026-07-27T07:14:36.838495+00:00,24.026839199999813,0.0,,0.0,,,100,100,,,,,295,1272855040,artifacts\data\pilot\sft_validation_apply.jsonl,,artifacts\adapters\sft_atomic_r16_pilot,,48a09f85db72ec9c98d51f09e9cd5e7c2b306271fe58135f886207c5ad321d81
20260727T071442Z_qwen3-0.6b_sft_validation_plan_evaluation_sft-pilot-atomic-plan_exact_seed0,DONE,0,2026-07-27T07:14:42.140869+00:00,2026-07-27T07:15:03.150638+00:00,21.003363900003023,0.0,,0.0,,,100,100,,,,,283,1272855040,artifacts\data\pilot\sft_validation_plan.jsonl,,artifacts\adapters\sft_atomic_r16_pilot,,aa33417a7846eaea0864ab6124303b5925deb286ac06f671f1770965bdf12c33
20260727T071558Z_qwen3-0.6b_atomic_sft_lora-r16_exact_seed0,DONE,0,2026-07-27T07:15:58.860764+00:00,2026-07-27T07:16:50.317003+00:00,51.4494974000263,,,,,250,,,,,,,,4632436224,,,,,fd83c280d427c45a490036de114fe0f8ee39131a7463f621d967b22ec5b4fe86
20260727T071708Z_qwen3-0.6b_sft_validation_apply_evaluation_sft-pilot-fix-atomic-apply_exact_seed0,DONE,0,2026-07-27T07:17:09.014341+00:00,2026-07-27T07:17:46.113225+00:00,37.08998069999507,0.02,,0.06,,,100,100,,,,,545,1272855040,artifacts\data\pilot\sft_validation_apply.jsonl,,artifacts\adapters\sft_atomic_r16_pilot,,48a09f85db72ec9c98d51f09e9cd5e7c2b306271fe58135f886207c5ad321d81
20260727T071750Z_qwen3-0.6b_sft_validation_plan_evaluation_sft-pilot-fix-atomic-plan_exact_seed0,DONE,0,2026-07-27T07:17:51.003859+00:00,2026-07-27T07:18:24.407498+00:00,33.396549599972786,0.83,,1.0,,,100,100,,,,,494,1272855040,artifacts\data\pilot\sft_validation_plan.jsonl,,artifacts\adapters\sft_atomic_r16_pilot,,aa33417a7846eaea0864ab6124303b5925deb286ac06f671f1770965bdf12c33
20260727T071855Z_qwen3-0.6b_atomic_sft_lora-r16_exact_seed0,DONE,0,2026-07-27T07:18:55.737229+00:00,2026-07-27T07:19:46.074589+00:00,50.33149789998424,,,,,250,,,,,,,,4640751104,,,,,fd83c280d427c45a490036de114fe0f8ee39131a7463f621d967b22ec5b4fe86
